tweet,voter 1,voter 2,voter 3,final vote,,,,,,,,,,,,,,,
@ajahshin_ HAHAHAHAHA di nila gets ang point sa uban about bbm,-1,-1,-1,-1,,,,,,,,,,,,,,,
@onus_q @bongbongmarcos Lang time c bbm sa mga taong VAZUKðŸ’£ðŸ˜œðŸ˜† besides WHO R DY NAKAKAT2LONG BA SILA SA MGA TAO,-1,-1,-1,-1,,,,,,,,,,,,,,,
Alam na naman ng mga mulat sa katotohanan Para itong mensahe sa DDS universe na boboto KayBBM Tatay nyo na mismo ang nag wawarning at nag confirm para sainyo na magnanakaw nga si BBM Gising gising din guysssss!   #NoToMarcosMagnanakaw  #NoToMarcosTaxEvader #NoToMaroosSinungaling  https://t.co/7fR84sIgUw,-1,-1,-1,-1,,,,,,,,,,,,,,,
Manifesting yung isang BBM din dyan. ðŸ˜—ðŸ¤žðŸ½,0,-1,-1,-1,,,,,,,,,,,,,,,
Sino ba yung nasa video? Diba si Leni? Why drag BBM?,-1,-1,-1,-1,,,,,,,,,,,,,,,
@Mang_INASAR Ayaw din ng mga BBM trolls na tawaging anak ng diktador boy Recount at boy recto si bbm,-1,-1,-1,-1,,,,,,,,,,,,,,,
sana yung isang bbm den charot! HAHAHAHAHAHA,1,-1,-1,-1,,,,,,,,,,,,,,,
@neil_geron @Lutangmama_nila @BBMSOLID27 bbm vlog na puro fake news ðŸ˜‚ thank u but no thanks ðŸ˜‚ syempre malakas loob namin kasi mauulit ang 2016 ngayong 2022 ung recount pa more ðŸ˜‚ #Bongbongbudol,-1,-1,-1,-1,,,,,,,,,,,,,,,
Hala bkt naman nasali sa usapan si BBM?  Si Auntie @lenirobredo lang nasa video nagsasalita. ðŸ˜œðŸ¤£ðŸ˜œ,-1,-1,-1,-1,,,,,,,,,,,,,,,
"@BoomBuencamino Sara is for Sara, BBM is for BBM. It's as clear as that. This is a tandem conceived and brought to completion by GMA the Trapo of all trapos. Is there anything good that can come from them? Not until hell freezes over.",-1,-1,-1,-1,,,,,,,,,,,,,,,
The nerve of you to mention BBM on your nanay's very informative video.,-1,-1,-1,-1,,,,,,,,,,,,,,,
"@LunarAbsol ang mga reporter Ng abs nag dirty finger s mga BBM suporters, Sila lng may K ,",-1,-1,-1,-1,,,,,,,,,,,,,,,
@Lutangmama_nila @ClaraSa66414026 @BBMSOLID27 Syempre malakas loob namin na mananalo ang manok namin. Saka don't forget to subscribe to bbm vlogs. #NoToLeniKiko2022,1,-1,-1,-1,,,,,,,,,,,,,,,
"Prediksiyon mo rappler ang layo talaga sa katotohanan, na mananalo di Robredo at maghahabol uli si Bongbong, eh tatambakan ni Bongbong yang kandidato mong si Robredo. Landslide ang panalo ni BBM, yan ey hindi prediksiyon,katotohanan yan.",-1,-1,-1,-1,,,,,,,,,,,,,,,
@societyofhonor Thatâ€™s the future Secretary of Justice if BBM wins,1,1,1,1,,,,,,,,,,,,,,,
"@wipedoutseaweed @Fishball_Vendor Kapag kakampink, extraordinary citizen. Kapag BBM supporters, ordinary citizen. Hinati nila ang bato ni Darna ðŸ˜‚",-1,-1,-1,-1,,,,,,,,,,,,,,,
@eveirulne Go away bbm!,-1,-1,-1,-1,,,,,,,,,,,,,,,
@arthur_vee Cute ni bbm âœŒï¸ðŸ‘Š,1,1,1,1,,,,,,,,,,,,,,,
@Cust3rw1nst0n hahahaha apaka useless namn ng bbm na yan ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,-1,-1,-1,-1,,,,,,,,,,,,,,,
"So you will be targeted because they need to protect this illusion that BBM is a good person, &amp; youâ€™re actually giving out a lot of facts &amp; hard questions  that are eliminating this illusion.    https://t.co/nLrWqeubnl",-1,-1,-1,-1,,,,,,,,,,,,,,,
@PhilstarNews Why is it that our Supreme Court Justice when Atty.Gadon had done tbis before criticising people who are against BBM and thrse people who are critizising Atty. Gadon are the people who are against the Marcoses and it is the LP of oligarchs that often criticized even PRRD?,-1,-1,-1,-1,,,,,,,,,,,,,,,
Bye BBM,-1,-1,-1,-1,,,,,,,,,,,,,,,
@narryyonce @thecuriousbelle malamang kagagawan nyo din kakampinks yan. hahaha talagang sa bbm supporters na lang kayo magkakalat kasi nilalangaw caravan nyo. ðŸ¤§ðŸ¤£,-1,-1,-1,-1,,,,,,,,,,,,,,,
Good read but 2 things:  1) Armed insurgency is primarily fueled by worsening socio-economic conditions &amp; the system responsible for it not by any one president  2) Interesting to see US-China proxy war in Nat'l Elex w/ what seems to be Chinese-backed BBM   https://t.co/pzqTPKVjE2,-1,0,-1,-1,,,,,,,,,,,,,,,
I didn't &amp; never will. Voted BBM last 2016 election. #MarcosLatta,-1,-1,-1,-1,,,,,,,,,,,,,,,
@easy_jonathan BBM ba siya? Lol di ko chineck. Anlabo na galit and then say something that I also said naman :))),-1,-1,-1,-1,,,,,,,,,,,,,,,
